0, 0
0, 1
0, 2
0, 3
1, 4
1, 5
0, 6
1, 7
1, 8
0, 9
1, 10
0, 11
0, 12
1, 13
0, 14
1, 15
0, 16
1, 17
1, 18
0, 19
0, 20
0, 21
0, 22
1, 23
1, 24
1, 25
1, 26
1, 27
0, 28
0, 29
1, 30
1, 31
1, 32
0, 33
1, 34
0, 35
1, 36
0, 37
1, 38
1, 39
0, 40
0, 41
0, 42
1, 43
0, 44
1, 45
1, 46
0, 47
1, 48
0, 49
1, 50
1, 51
1, 52
1, 53
1, 54
1, 55
1, 56
1, 57
1, 58
0, 59
0, 60
0, 61
0, 62
0, 63
0, 64
1, 65
1, 66
1, 67
1, 68
1, 69
0, 70
0, 71
1, 72
0, 73
1, 74
0, 75
0, 76
1, 77
0, 78
0, 79
0, 80
0, 81
1, 82
1, 83
0, 84
1, 85
1, 86
1, 87
0, 88
0, 89
0, 90
0, 91
1, 92
1, 93
0, 94
0, 95
0, 96
0, 97
1, 98
0, 99
